iter	Passed	Remaining
401	16595	4045
402	16627	4002
403	16666	3960
404	16705	3918
405	16755	3879
406	16797	3838
407	16834	3796
408	16867	3752
409	16910	3712
410	16954	3671
411	16990	3628
412	17043	3590
413	17082	3548
414	17117	3506
415	17153	3463
416	17202	3423
417	17234	3381
418	17276	3339
419	17315	3298
420	17356	3256
421	17406	3217
422	17440	3174
423	17480	3133
424	17520	3091
425	17556	3049
426	17591	3007
427	17633	2966
428	17661	2923
429	17691	2880
430	17720	2836
431	17749	2793
432	17778	2750
433	17808	2708
434	17838	2665
435	17871	2623
436	17899	2580
437	17931	2538
438	17964	2496
439	17996	2454
440	18024	2411
441	18055	2369
442	18084	2326
443	18112	2284
444	18142	2242
445	18170	2200
446	18199	2157
447	18227	2115
448	18256	2073
449	18288	2032
450	18318	1990
451	18344	1948
452	18372	1906
453	18398	1864
454	18426	1822
455	18455	1780
456	18485	1739
457	18515	1697
458	18544	1656
459	18577	1615
460	18611	1574
461	18641	1533
462	18670	1492
463	18702	1451
464	18732	1409
465	18763	1369
466	18792	1327
467	18827	1287
468	18859	1246
469	18890	1205
470	18926	1165
471	18958	1124
472	18990	1084
473	19022	1043
474	19052	1002
475	19081	962
476	19109	921
477	19167	882
478	19202	841
479	19229	801
480	19256	760
481	19287	720
482	19312	679
483	19342	639
484	19370	599
485	19399	558
486	19427	518
487	19452	478
488	19482	438
489	19507	398
490	19534	358
491	19563	318
492	19589	278
493	19617	238
494	19642	198
495	19672	158
496	19698	118
497	19724	79
498	19756	39
499	19783	0
	20746	0
