iter	Logloss
397	0.05487818991
398	0.05474351937
399	0.05455465474
400	0.05435895725
401	0.05422641274
402	0.05394478296
403	0.0537376812
404	0.05345715303
405	0.05314746253
406	0.05282026003
407	0.05269705342
408	0.05238261022
409	0.05207320993
410	0.05189763103
411	0.05173369412
412	0.05148854446
413	0.05117895727
414	0.05092905039
415	0.05075620429
416	0.05035249059
417	0.05010747672
418	0.04990571781
419	0.04970843773
420	0.04948244649
421	0.04929740887
422	0.04916500276
423	0.04898539714
424	0.04878411352
425	0.04867142169
426	0.04844650662
427	0.04831596027
428	0.04820826074
429	0.04798017093
430	0.04784196416
431	0.04765576735
432	0.04747435928
433	0.04722074358
434	0.04691025129
435	0.04681021485
436	0.04668067426
437	0.0465074163
438	0.04630514575
439	0.04606237974
440	0.04590560787
441	0.04574981442
442	0.0456132297
443	0.04543596076
444	0.04531457102
445	0.04520427643
446	0.04500108587
447	0.04486764534
448	0.04473624043
449	0.04458844688
450	0.04434242763
451	0.04423094891
452	0.04400063562
453	0.04389737423
454	0.04377596935
455	0.0435752844
456	0.04346073308
457	0.04329399681
458	0.04313683221
459	0.04300894952
460	0.04288422084
461	0.04261883755
462	0.04245910553
463	0.04222706158
464	0.0420446252
465	0.0418960408
466	0.04165945336
467	0.04151264772
468	0.04132386402
469	0.04113957851
470	0.04096281336
471	0.04074149726
472	0.04061688282
473	0.04043211566
474	0.04030718475
475	0.04020772159
476	0.04014619173
477	0.04005616229
478	0.03982298247
479	0.03962492493
480	0.03948318359
481	0.03941251155
482	0.03923807481
483	0.03915748821
484	0.03907393749
485	0.03892878103
486	0.03870403272
487	0.03857267923
488	0.03844204646
489	0.03829221086
490	0.03811499726
491	0.0379784244
492	0.03791692067
493	0.03771899929
494	0.03761062263
495	0.03753021405
496	0.03743657878
497	0.03731619316
498	0.03717035278
499	0.03706061001
